miRNA,drug
hsa-mir-196b,Doxorubicin (Adriamycin)
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-200a,Doxorubicin (Adriamycin)
hsa-mir-200a,Doxorubicin (Adriamycin)
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-203a,Doxorubicin (Adriamycin)
hsa-mir-205,Doxorubicin (Adriamycin)
hsa-mir-206,Doxorubicin (Adriamycin)
hsa-mir-20a,Doxorubicin (Adriamycin)
hsa-mir-20b,Doxorubicin (Adriamycin)
hsa-mir-210,Doxorubicin (Adriamycin)
hsa-mir-212,Doxorubicin (Adriamycin)
hsa-mir-214,Doxorubicin (Adriamycin)
hsa-mir-215,Doxorubicin (Adriamycin)
hsa-mir-22,Doxorubicin (Adriamycin)
hsa-mir-221,Doxorubicin (Adriamycin)
hsa-mir-222,Doxorubicin (Adriamycin)
hsa-mir-224,Doxorubicin (Adriamycin)
hsa-mir-23a,Doxorubicin (Adriamycin)
hsa-mir-23b,Doxorubicin (Adriamycin)
hsa-mir-25,Doxorubicin (Adriamycin)
hsa-mir-26a-1,Doxorubicin (Adriamycin)
hsa-mir-27a,Doxorubicin (Adriamycin)
hsa-mir-27b,Doxorubicin (Adriamycin)
hsa-mir-28,Doxorubicin (Adriamycin)
hsa-mir-29a,Doxorubicin (Adriamycin)
hsa-mir-29b-1,Doxorubicin (Adriamycin)
hsa-mir-301a,Doxorubicin (Adriamycin)
hsa-mir-30a,Doxorubicin (Adriamycin)
hsa-mir-30e,Doxorubicin (Adriamycin)
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-320a,Doxorubicin (Adriamycin)
hsa-mir-323a,Doxorubicin (Adriamycin)
hsa-mir-324,Doxorubicin (Adriamycin)
hsa-mir-328,Doxorubicin (Adriamycin)
hsa-mir-331,Doxorubicin (Adriamycin)
hsa-mir-339,Doxorubicin (Adriamycin)
hsa-mir-342,Doxorubicin (Adriamycin)
hsa-mir-345,Doxorubicin (Adriamycin)
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-34c,Doxorubicin (Adriamycin)
hsa-mir-362,Doxorubicin (Adriamycin)
hsa-mir-373,Doxorubicin (Adriamycin)
hsa-mir-374a,Doxorubicin (Adriamycin)
hsa-mir-375,Doxorubicin (Adriamycin)
hsa-mir-376a-1,Doxorubicin (Adriamycin)
hsa-mir-378a,Doxorubicin (Adriamycin)
hsa-mir-409,Doxorubicin (Adriamycin)
hsa-mir-410,Doxorubicin (Adriamycin)
hsa-mir-411,Doxorubicin (Adriamycin)
hsa-mir-421,Doxorubicin (Adriamycin)
hsa-mir-422a,Doxorubicin (Adriamycin)
hsa-mir-424,Doxorubicin (Adriamycin)
hsa-mir-429,Doxorubicin (Adriamycin)
hsa-mir-431,Doxorubicin (Adriamycin)
hsa-mir-432,Doxorubicin (Adriamycin)
hsa-mir-433,Doxorubicin (Adriamycin)
hsa-mir-450a-1,Doxorubicin (Adriamycin)
hsa-mir-451a,Doxorubicin (Adriamycin)
hsa-mir-455,Doxorubicin (Adriamycin)
hsa-mir-484,Doxorubicin (Adriamycin)
hsa-mir-485,Doxorubicin (Adriamycin)
hsa-mir-486-1,Doxorubicin (Adriamycin)
hsa-mir-487a,Doxorubicin (Adriamycin)
hsa-mir-487b,Doxorubicin (Adriamycin)
hsa-mir-489,Doxorubicin (Adriamycin)
hsa-mir-493,Doxorubicin (Adriamycin)
hsa-mir-495,Doxorubicin (Adriamycin)
hsa-mir-503,Doxorubicin (Adriamycin)
hsa-mir-532,Doxorubicin (Adriamycin)
hsa-mir-542,Doxorubicin (Adriamycin)
hsa-mir-550a-1,Doxorubicin (Adriamycin)
hsa-mir-557,Doxorubicin (Adriamycin)
hsa-mir-574,Doxorubicin (Adriamycin)
hsa-mir-584,Doxorubicin (Adriamycin)
hsa-mir-590,Doxorubicin (Adriamycin)
hsa-mir-615,Doxorubicin (Adriamycin)
hsa-mir-637,Doxorubicin (Adriamycin)
hsa-mir-654,Doxorubicin (Adriamycin)
hsa-mir-660,Doxorubicin (Adriamycin)
hsa-mir-7-1,Doxorubicin (Adriamycin)
hsa-mir-9-1,Doxorubicin (Adriamycin)
hsa-mir-93,Doxorubicin (Adriamycin)
hsa-mir-96,Doxorubicin (Adriamycin)
hsa-mir-99b,Doxorubicin (Adriamycin)
hsa-let-7a-1,Capecitabine
hsa-mir-198,Capecitabine
hsa-mir-33a,Capecitabine
hsa-mir-203a,Tamoxifen
hsa-mir-21,Tamoxifen
hsa-mir-181a-1,Tamoxifen
hsa-mir-221,Tamoxifen
hsa-mir-222,Tamoxifen
hsa-mir-23a,Tamoxifen
hsa-mir-24-1,Tamoxifen
hsa-mir-27a,Tamoxifen
hsa-mir-32,Tamoxifen
hsa-mir-342,Tamoxifen
hsa-mir-375,Tamoxifen
hsa-mir-489,Tamoxifen
hsa-let-7a-1,Doxorubicin (Adriamycin)
hsa-let-7a-1,Doxorubicin (Adriamycin)
hsa-let-7a-1,Interferon-gamma
hsa-let-7a-1,Interferon-gamma
hsa-let-7a-1,Paclitaxel
hsa-let-7a-1,Paclitaxel
hsa-mir-221,Tamoxifen
hsa-mir-222,Tamoxifen
hsa-mir-34a,Cisplatin
hsa-mir-34a,Docetaxel
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-34a,Gemcitabine
hsa-mir-1-1,Doxorubicin (Adriamycin)
hsa-let-7e,Cisplatin
hsa-mir-10a,Cisplatin
hsa-mir-19b-1,Cisplatin
hsa-mir-20a,Cisplatin
hsa-mir-23a,Cisplatin
hsa-mir-23b,Cisplatin
hsa-mir-26a-1,Cisplatin
hsa-mir-29c,Cisplatin
hsa-mir-92a-1,Cisplatin
hsa-mir-93,Cisplatin
hsa-mir-99a,Cisplatin
hsa-mir-100,Cisplatin
hsa-mir-106a,Paclitaxel
hsa-mir-106a,Paclitaxel
hsa-mir-106a,Cisplatin
hsa-mir-106a,Cisplatin
hsa-mir-107,Paclitaxel
hsa-mir-125a,Paclitaxel
hsa-mir-125b-1,Paclitaxel
hsa-mir-126,Paclitaxel
hsa-mir-128-1,Paclitaxel
hsa-mir-130a,Paclitaxel
hsa-mir-130b,Paclitaxel
hsa-mir-137,Paclitaxel
hsa-mir-182,Paclitaxel
hsa-mir-197,Paclitaxel
hsa-mir-199a-1,Paclitaxel
hsa-mir-204,Paclitaxel
hsa-mir-20b,Paclitaxel
hsa-mir-21,Paclitaxel
hsa-mir-218-1,Paclitaxel
hsa-mir-30c-2,Paclitaxel
hsa-mir-335,Paclitaxel
hsa-mir-34a,Camptothecin
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-106a,Doxorubicin (Adriamycin)
hsa-mir-106b,Doxorubicin (Adriamycin)
hsa-mir-125a,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-130a,Doxorubicin (Adriamycin)
hsa-mir-141,Doxorubicin (Adriamycin)
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-183,Doxorubicin (Adriamycin)
hsa-mir-193a,Doxorubicin (Adriamycin)
hsa-mir-200a,Doxorubicin (Adriamycin)
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-203a,Doxorubicin (Adriamycin)
hsa-mir-20b,Doxorubicin (Adriamycin)
hsa-mir-210,Doxorubicin (Adriamycin)
hsa-mir-22,Doxorubicin (Adriamycin)
hsa-mir-221,Doxorubicin (Adriamycin)
hsa-mir-222,Doxorubicin (Adriamycin)
hsa-mir-23a,Doxorubicin (Adriamycin)
hsa-mir-25,Doxorubicin (Adriamycin)
hsa-mir-301a,Doxorubicin (Adriamycin)
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-339,Doxorubicin (Adriamycin)
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-421,Doxorubicin (Adriamycin)
hsa-mir-455,Doxorubicin (Adriamycin)
hsa-mir-590,Doxorubicin (Adriamycin)
hsa-mir-92a-1,Doxorubicin (Adriamycin)
hsa-mir-93,Doxorubicin (Adriamycin)
hsa-let-7i,Cisplatin
hsa-mir-126,Cisplatin
hsa-mir-152,Cisplatin
hsa-mir-196a-1,Cisplatin
hsa-mir-198,Cisplatin
hsa-mir-214,Cisplatin
hsa-mir-216a,Cisplatin
hsa-mir-22,Cisplatin
hsa-mir-223,Cisplatin
hsa-mir-370,Cisplatin
hsa-mir-509-1,Cisplatin
hsa-mir-520e,Cisplatin
hsa-mir-521-1,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-21,Hydrogen Peroxide (H2O2)
hsa-let-7e,Doxorubicin (Adriamycin)
hsa-mir-106a,Doxorubicin (Adriamycin)
hsa-mir-126,Doxorubicin (Adriamycin)
hsa-mir-132,Doxorubicin (Adriamycin)
hsa-mir-142,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181b-1,Gemcitabine
hsa-mir-185,Gemcitabine
hsa-mir-21,Gemcitabine
hsa-mir-181a-1,Paclitaxel
hsa-mir-23b,Paclitaxel
hsa-mir-330,Paclitaxel
hsa-mir-331,Paclitaxel
hsa-mir-339,Docetaxel
hsa-mir-340,Docetaxel
hsa-mir-34b,Docetaxel
hsa-mir-371a,Docetaxel
hsa-mir-381,Docetaxel
hsa-mir-431,Docetaxel
hsa-mir-502,Topotecan
hsa-mir-514a-1,Topotecan
hsa-mir-515-1,Topotecan
hsa-mir-518a-1,Cisplatin
hsa-mir-520f,Cisplatin
hsa-mir-520f,Cisplatin
hsa-mir-99b,Cisplatin
hsa-mir-328,Mitoxantrone
hsa-mir-205,Gefitinib
hsa-mir-205,Lapatinib
hsa-mir-221,Dihydrotestosterone
hsa-mir-222,Dihydrotestosterone
hsa-let-7e,Doxorubicin (Adriamycin)
hsa-let-7e,Verapamil
hsa-let-7e,Doxorubicin (Adriamycin)
hsa-let-7e,Verapamil
hsa-let-7f-1,Doxorubicin (Adriamycin)
hsa-let-7f-1,Verapamil
hsa-let-7g,Doxorubicin (Adriamycin)
hsa-let-7g,Verapamil
hsa-let-7i,Doxorubicin (Adriamycin)
hsa-let-7i,Verapamil
hsa-mir-1-1,Doxorubicin (Adriamycin)
hsa-mir-1-1,Verapamil
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-100,Verapamil
hsa-mir-101-1,Doxorubicin (Adriamycin)
hsa-mir-101-1,Verapamil
hsa-mir-10a,Doxorubicin (Adriamycin)
hsa-mir-10a,Verapamil
hsa-mir-10b,Doxorubicin (Adriamycin)
hsa-mir-10b,Verapamil
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Verapamil
hsa-mir-128-1,Doxorubicin (Adriamycin)
hsa-mir-128-1,Verapamil
hsa-mir-130b,Doxorubicin (Adriamycin)
hsa-mir-130b,Verapamil
hsa-mir-132,Doxorubicin (Adriamycin)
hsa-mir-132,Verapamil
hsa-mir-135a-1,Doxorubicin (Adriamycin)
hsa-mir-135a-1,Verapamil
hsa-mir-135b,Doxorubicin (Adriamycin)
hsa-mir-135b,Verapamil
hsa-mir-140,Doxorubicin (Adriamycin)
hsa-mir-140,Verapamil
hsa-mir-141,Doxorubicin (Adriamycin)
hsa-mir-141,Verapamil
hsa-mir-141,Doxorubicin (Adriamycin)
hsa-mir-141,Verapamil
hsa-mir-142,Doxorubicin (Adriamycin)
hsa-mir-142,Verapamil
hsa-mir-143,Doxorubicin (Adriamycin)
hsa-mir-143,Verapamil
hsa-mir-145,Doxorubicin (Adriamycin)
hsa-mir-145,Verapamil
hsa-mir-146a,Doxorubicin (Adriamycin)
hsa-mir-146a,Verapamil
hsa-mir-146b,Doxorubicin (Adriamycin)
hsa-mir-146b,Verapamil
hsa-mir-148a,Doxorubicin (Adriamycin)
hsa-mir-148a,Verapamil
hsa-mir-151a,Doxorubicin (Adriamycin)
hsa-mir-151a,Verapamil
hsa-mir-153-1,Doxorubicin (Adriamycin)
hsa-mir-153-1,Verapamil
hsa-mir-154,Doxorubicin (Adriamycin)
hsa-mir-154,Verapamil
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-155,Verapamil
hsa-mir-15a,Doxorubicin (Adriamycin)
hsa-mir-15a,Verapamil
hsa-mir-15b,Doxorubicin (Adriamycin)
hsa-mir-15b,Verapamil
hsa-mir-16-1,Doxorubicin (Adriamycin)
hsa-mir-16-1,Verapamil
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Verapamil
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Verapamil
hsa-mir-181c,Doxorubicin (Adriamycin)
hsa-mir-181c,Verapamil
hsa-mir-181d,Doxorubicin (Adriamycin)
hsa-mir-181d,Verapamil
hsa-mir-182,Doxorubicin (Adriamycin)
hsa-mir-182,Verapamil
hsa-mir-186,Doxorubicin (Adriamycin)
hsa-mir-186,Verapamil
hsa-mir-18a,Doxorubicin (Adriamycin)
hsa-mir-18a,Verapamil
hsa-mir-190a,Doxorubicin (Adriamycin)
hsa-mir-190a,Verapamil
hsa-mir-192,Doxorubicin (Adriamycin)
hsa-mir-192,Verapamil
hsa-mir-193a,Doxorubicin (Adriamycin)
hsa-mir-193a,Verapamil
hsa-mir-196a-1,Doxorubicin (Adriamycin)
hsa-mir-196a-1,Verapamil
hsa-mir-196b,Doxorubicin (Adriamycin)
hsa-mir-196b,Verapamil
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-199a-1,Verapamil
hsa-mir-199b,Doxorubicin (Adriamycin)
hsa-mir-199b,Verapamil
hsa-mir-19a,Doxorubicin (Adriamycin)
hsa-mir-19a,Verapamil
hsa-mir-19b-1,Doxorubicin (Adriamycin)
hsa-mir-19b-1,Verapamil
hsa-mir-19b-1,Doxorubicin (Adriamycin)
hsa-mir-19b-1,Verapamil
hsa-mir-200a,Doxorubicin (Adriamycin)
hsa-mir-200a,Verapamil
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-200c,Verapamil
hsa-mir-205,Doxorubicin (Adriamycin)
hsa-mir-205,Verapamil
hsa-mir-206,Doxorubicin (Adriamycin)
hsa-mir-206,Verapamil
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-21,Verapamil
hsa-mir-214,Doxorubicin (Adriamycin)
hsa-mir-214,Verapamil
hsa-mir-216a,Doxorubicin (Adriamycin)
hsa-mir-216a,Verapamil
hsa-mir-216b,Doxorubicin (Adriamycin)
hsa-mir-216b,Verapamil
hsa-mir-219a-1,Doxorubicin (Adriamycin)
hsa-mir-219a-1,Verapamil
hsa-mir-221,Doxorubicin (Adriamycin)
hsa-mir-221,Verapamil
hsa-mir-25,Doxorubicin (Adriamycin)
hsa-mir-25,Verapamil
hsa-mir-26a-1,Doxorubicin (Adriamycin)
hsa-mir-26a-1,Verapamil
hsa-mir-28,Doxorubicin (Adriamycin)
hsa-mir-28,Verapamil
hsa-mir-299,Doxorubicin (Adriamycin)
hsa-mir-299,Verapamil
hsa-mir-29a,Doxorubicin (Adriamycin)
hsa-mir-29a,Verapamil
hsa-mir-29c,Doxorubicin (Adriamycin)
hsa-mir-29c,Verapamil
hsa-mir-301b,Doxorubicin (Adriamycin)
hsa-mir-301b,Verapamil
hsa-mir-302a,Doxorubicin (Adriamycin)
hsa-mir-302a,Verapamil
hsa-mir-302c,Doxorubicin (Adriamycin)
hsa-mir-302c,Verapamil
hsa-mir-302c,Doxorubicin (Adriamycin)
hsa-mir-302c,Verapamil
hsa-mir-30a,Doxorubicin (Adriamycin)
hsa-mir-30a,Verapamil
hsa-mir-30b,Doxorubicin (Adriamycin)
hsa-mir-30b,Verapamil
hsa-mir-30d,Doxorubicin (Adriamycin)
hsa-mir-30d,Verapamil
hsa-mir-30e,Doxorubicin (Adriamycin)
hsa-mir-30e,Verapamil
hsa-mir-30e,Doxorubicin (Adriamycin)
hsa-mir-30e,Verapamil
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-31,Verapamil
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-31,Verapamil
hsa-mir-32,Doxorubicin (Adriamycin)
hsa-mir-32,Verapamil
hsa-mir-320a,Doxorubicin (Adriamycin)
hsa-mir-320a,Verapamil
hsa-mir-330,Doxorubicin (Adriamycin)
hsa-mir-330,Verapamil
hsa-mir-331,Doxorubicin (Adriamycin)
hsa-mir-331,Verapamil
hsa-mir-339,Doxorubicin (Adriamycin)
hsa-mir-339,Verapamil
hsa-mir-33a,Doxorubicin (Adriamycin)
hsa-mir-33a,Verapamil
hsa-mir-33a,Doxorubicin (Adriamycin)
hsa-mir-33a,Verapamil
hsa-mir-33b,Doxorubicin (Adriamycin)
hsa-mir-33b,Verapamil
hsa-mir-345,Doxorubicin (Adriamycin)
hsa-mir-345,Verapamil
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-34a,Verapamil
hsa-mir-34b,Doxorubicin (Adriamycin)
hsa-mir-34b,Verapamil
hsa-mir-361,Doxorubicin (Adriamycin)
hsa-mir-361,Verapamil
hsa-mir-367,Doxorubicin (Adriamycin)
hsa-mir-367,Verapamil
hsa-mir-369,Doxorubicin (Adriamycin)
hsa-mir-369,Verapamil
hsa-mir-370,Doxorubicin (Adriamycin)
hsa-mir-370,Verapamil
hsa-mir-373,Doxorubicin (Adriamycin)
hsa-mir-373,Verapamil
hsa-mir-373,Doxorubicin (Adriamycin)
hsa-mir-373,Verapamil
hsa-mir-374a,Doxorubicin (Adriamycin)
hsa-mir-374a,Verapamil
hsa-mir-376c,Doxorubicin (Adriamycin)
hsa-mir-376c,Verapamil
hsa-mir-410,Doxorubicin (Adriamycin)
hsa-mir-410,Verapamil
hsa-mir-412,Doxorubicin (Adriamycin)
hsa-mir-412,Verapamil
hsa-mir-425,Doxorubicin (Adriamycin)
hsa-mir-425,Verapamil
hsa-mir-429,Doxorubicin (Adriamycin)
hsa-mir-429,Verapamil
hsa-mir-431,Doxorubicin (Adriamycin)
hsa-mir-431,Verapamil
hsa-mir-448,Doxorubicin (Adriamycin)
hsa-mir-448,Verapamil
hsa-mir-450a-1,Doxorubicin (Adriamycin)
hsa-mir-450a-1,Verapamil
hsa-mir-451a,Doxorubicin (Adriamycin)
hsa-mir-451a,Verapamil
hsa-mir-454,Doxorubicin (Adriamycin)
hsa-mir-454,Verapamil
hsa-mir-455,Doxorubicin (Adriamycin)
hsa-mir-455,Verapamil
hsa-mir-485,Doxorubicin (Adriamycin)
hsa-mir-485,Verapamil
hsa-mir-491,Doxorubicin (Adriamycin)
hsa-mir-491,Verapamil
hsa-mir-496,Doxorubicin (Adriamycin)
hsa-mir-496,Verapamil
hsa-mir-497,Doxorubicin (Adriamycin)
hsa-mir-497,Verapamil
hsa-mir-499a,Doxorubicin (Adriamycin)
hsa-mir-499a,Verapamil
hsa-mir-502,Doxorubicin (Adriamycin)
hsa-mir-502,Verapamil
hsa-mir-505,Doxorubicin (Adriamycin)
hsa-mir-505,Verapamil
hsa-mir-509-1,Doxorubicin (Adriamycin)
hsa-mir-509-1,Verapamil
hsa-mir-514a-1,Doxorubicin (Adriamycin)
hsa-mir-514a-1,Verapamil
hsa-mir-517c,Doxorubicin (Adriamycin)
hsa-mir-517c,Verapamil
hsa-mir-519b,Doxorubicin (Adriamycin)
hsa-mir-519b,Verapamil
hsa-mir-520a,Doxorubicin (Adriamycin)
hsa-mir-520a,Verapamil
hsa-mir-520d,Doxorubicin (Adriamycin)
hsa-mir-520d,Verapamil
hsa-mir-526b,Doxorubicin (Adriamycin)
hsa-mir-526b,Verapamil
hsa-mir-532,Doxorubicin (Adriamycin)
hsa-mir-532,Verapamil
hsa-mir-539,Doxorubicin (Adriamycin)
hsa-mir-539,Verapamil
hsa-mir-541,Doxorubicin (Adriamycin)
hsa-mir-541,Verapamil
hsa-mir-542,Doxorubicin (Adriamycin)
hsa-mir-542,Verapamil
hsa-mir-545,Doxorubicin (Adriamycin)
hsa-mir-545,Verapamil
hsa-mir-548a-1,Doxorubicin (Adriamycin)
hsa-mir-548a-1,Verapamil
hsa-mir-555,Doxorubicin (Adriamycin)
hsa-mir-555,Verapamil
hsa-mir-563,Doxorubicin (Adriamycin)
hsa-mir-563,Verapamil
hsa-mir-568,Doxorubicin (Adriamycin)
hsa-mir-568,Verapamil
hsa-mir-569,Doxorubicin (Adriamycin)
hsa-mir-569,Verapamil
hsa-mir-571,Doxorubicin (Adriamycin)
hsa-mir-571,Verapamil
hsa-mir-576,Doxorubicin (Adriamycin)
hsa-mir-576,Verapamil
hsa-mir-578,Doxorubicin (Adriamycin)
hsa-mir-578,Verapamil
hsa-mir-582,Doxorubicin (Adriamycin)
hsa-mir-582,Verapamil
hsa-mir-586,Doxorubicin (Adriamycin)
hsa-mir-586,Verapamil
hsa-mir-587,Doxorubicin (Adriamycin)
hsa-mir-587,Verapamil
hsa-mir-588,Doxorubicin (Adriamycin)
hsa-mir-588,Verapamil
hsa-mir-589,Doxorubicin (Adriamycin)
hsa-mir-589,Verapamil
hsa-mir-590,Doxorubicin (Adriamycin)
hsa-mir-590,Verapamil
hsa-mir-591,Doxorubicin (Adriamycin)
hsa-mir-591,Verapamil
hsa-mir-592,Doxorubicin (Adriamycin)
hsa-mir-592,Verapamil
hsa-mir-593,Doxorubicin (Adriamycin)
hsa-mir-593,Verapamil
hsa-mir-601,Doxorubicin (Adriamycin)
hsa-mir-601,Verapamil
hsa-mir-605,Doxorubicin (Adriamycin)
hsa-mir-605,Verapamil
hsa-mir-606,Doxorubicin (Adriamycin)
hsa-mir-606,Verapamil
hsa-mir-613,Doxorubicin (Adriamycin)
hsa-mir-613,Verapamil
hsa-mir-629,Doxorubicin (Adriamycin)
hsa-mir-629,Verapamil
hsa-mir-633,Doxorubicin (Adriamycin)
hsa-mir-633,Verapamil
hsa-mir-639,Doxorubicin (Adriamycin)
hsa-mir-639,Verapamil
hsa-mir-643,Doxorubicin (Adriamycin)
hsa-mir-643,Verapamil
hsa-mir-649,Doxorubicin (Adriamycin)
hsa-mir-649,Verapamil
hsa-mir-651,Doxorubicin (Adriamycin)
hsa-mir-651,Verapamil
hsa-mir-652,Doxorubicin (Adriamycin)
hsa-mir-652,Verapamil
hsa-mir-655,Doxorubicin (Adriamycin)
hsa-mir-655,Verapamil
hsa-mir-660,Doxorubicin (Adriamycin)
hsa-mir-660,Verapamil
hsa-mir-662,Doxorubicin (Adriamycin)
hsa-mir-662,Verapamil
hsa-mir-7-1,Doxorubicin (Adriamycin)
hsa-mir-7-1,Verapamil
hsa-mir-758,Doxorubicin (Adriamycin)
hsa-mir-758,Verapamil
hsa-mir-760,Doxorubicin (Adriamycin)
hsa-mir-760,Verapamil
hsa-mir-765,Doxorubicin (Adriamycin)
hsa-mir-765,Verapamil
hsa-mir-767,Doxorubicin (Adriamycin)
hsa-mir-767,Verapamil
hsa-mir-769,Doxorubicin (Adriamycin)
hsa-mir-769,Verapamil
hsa-mir-876,Doxorubicin (Adriamycin)
hsa-mir-876,Verapamil
hsa-mir-888,Doxorubicin (Adriamycin)
hsa-mir-888,Verapamil
hsa-mir-92a-1,Doxorubicin (Adriamycin)
hsa-mir-92a-1,Verapamil
hsa-mir-93,Doxorubicin (Adriamycin)
hsa-mir-93,Verapamil
hsa-mir-96,Doxorubicin (Adriamycin)
hsa-mir-96,Verapamil
hsa-mir-99a,Doxorubicin (Adriamycin)
hsa-mir-99a,Verapamil
hsa-mir-21,Gemcitabine
hsa-mir-200c,Epothilone B
hsa-mir-200c,Paclitaxel
hsa-mir-200c,Vincristine
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-21,Teniposide
hsa-mir-27b,Cyclophosphamide
hsa-mir-122,Doxorubicin (Adriamycin)
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-21,Paclitaxel
hsa-let-7a-1,Gemcitabine
hsa-let-7b,Gemcitabine
hsa-let-7c,Gemcitabine
hsa-let-7d,Gemcitabine
hsa-let-7f-1,Gemcitabine
hsa-mir-200b,Gemcitabine
hsa-mir-200c,Gemcitabine
hsa-mir-16-1,Genistein
hsa-mir-16-1,Nutlin
hsa-mir-122,Sorafenib
hsa-mir-140,5-Fluorouracil
hsa-mir-140,Methotrexate
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-143,5-Fluorouracil
hsa-mir-17,Etoposide
hsa-mir-187,Etoposide
hsa-mir-197,Etoposide
